category,title,url,publish_date,word_count,author,tags_count,has_thumbnail
khoa-hoc,Eo biển ám ảnh những thuyền trưởng lão luyện nhất,https://vnexpress.net/eo-bien-am-anh-nhung-thuyen-truong-lao-luyen-nhat-4864428.html,2025-03-22T13:41:00+07:00,527,VnExpress,6,True
khoa-hoc,Robot hình người của Trung Quốc được huấn luyện thế nào?,https://vnexpress.net/robot-hinh-nguoi-cua-trung-quoc-duoc-huan-luyen-the-nao-4869318.html,2025-04-04T07:00:00+07:00,1,VnExpress,5,True
khoa-hoc,Những món đồ từng bị chê 'vô dụng' thành sản phẩm phổ biến,https://vnexpress.net/nhung-mon-do-tung-bi-che-vo-dung-thanh-san-pham-pho-bien-4924948.html,2025-08-10T14:00:00+07:00,1116,VnExpress,6,True
khoa-hoc,Lục địa di chuyển nhanh nhất Trái Đất,https://vnexpress.net/luc-dia-di-chuyen-nhanh-nhat-trai-dat-4870490.html,2025-04-05T19:00:00+07:00,504,VnExpress,9,True
khoa-hoc,Máy bay chở hàng siêu thanh tốc độ Mach 10,https://vnexpress.net/may-bay-cho-hang-sieu-thanh-toc-do-mach-10-4866371.html,2025-03-27T19:00:00+07:00,389,VnExpress,3,True
khoa-hoc,'Tiếp cận sở hữu trí tuệ sớm người trẻ có cơ hội biến ý tưởng thành tiền',https://vnexpress.net/tiep-can-so-huu-tri-tue-som-nguoi-tre-co-co-hoi-bien-y-tuong-thanh-tien-4865832.html,2025-03-25T21:20:41+07:00,1025,VnExpress,6,True
khoa-hoc,Đề xuất ưu tiên phát triển công nghệ chiến lược lĩnh vực hạt nhân,https://vnexpress.net/de-xuat-uu-tien-phat-trien-cong-nghe-chien-luoc-linh-vuc-hat-nhan-4864349.html,2025-03-22T10:02:55+07:00,733,VnExpress,6,True
khoa-hoc,Lý do một số người có thể vẫy tai,https://vnexpress.net/ly-do-mot-so-nguoi-co-the-vay-tai-4855963.html,2025-03-03T20:26:55+07:00,787,VnExpress,8,True
khoa-hoc,Startup Mỹ tạo ra thế hệ thú cưng mới nhờ chỉnh sửa gene,https://vnexpress.net/startup-my-tao-ra-the-he-thu-cung-moi-nho-chinh-sua-gene-4855199.html,2025-02-28T18:56:40+07:00,1167,VnExpress,13,True
khoa-hoc,Phát hiện hai loài bọ xít mù ở Việt Nam,https://vnexpress.net/phat-hien-hai-loai-bo-xit-mu-o-viet-nam-4871458.html,2025-04-09T14:36:10+07:00,302,VnExpress,6,True
khoa-hoc,Trung Quốc lập kỷ lục liên lạc lượng tử dài 12.900 km,https://vnexpress.net/trung-quoc-lap-ky-luc-lien-lac-luong-tu-dai-12-900-km-4867288.html,2025-03-30T05:00:00+07:00,445,VnExpress,6,True
khoa-hoc,Công nghệ thông minh trong canh tác mùa xuân ở Trung Quốc,https://vnexpress.net/cong-nghe-thong-minh-trong-canh-tac-mua-xuan-o-trung-quoc-4858869.html,2025-03-10T19:00:00+07:00,1,VnExpress,8,True
khoa-hoc,"GPT-5 bị chê, OpenAI đưa GPT-4o trở lại ChatGPT",https://vnexpress.net/gpt-5-bi-che-openai-dua-gpt-4o-tro-lai-chatgpt-4924904.html,2025-08-09T18:37:03+07:00,478,VnExpress,7,True
khoa-hoc,Hơn 100 mẫu robot hình người đi học,https://vnexpress.net/hon-100-mau-robot-hinh-nguoi-di-hoc-4871582.html,2025-04-09T12:00:11+07:00,635,VnExpress,6,True
khoa-hoc,Game bắn súng nhỏ nhất thế giới,https://vnexpress.net/game-ban-sung-nho-nhat-the-gioi-4854976.html,2025-02-28T14:10:38+07:00,465,VnExpress,10,True
khoa-hoc,Mạng lưới vệ tinh Trung Quốc theo dõi hàng trăm triệu container,https://vnexpress.net/mang-luoi-ve-tinh-trung-quoc-theo-doi-hang-tram-trieu-container-4855755.html,2025-03-02T12:00:00+07:00,424,VnExpress,10,True
khoa-hoc,Tàu NASA sống sót sau chuyến bay qua sát Mặt Trời,https://vnexpress.net/tau-nasa-song-sot-sau-chuyen-bay-qua-sat-mat-troi-4867114.html,2025-03-29T08:00:00+07:00,472,VnExpress,7,True
khoa-hoc,Sáng kiến Khoa học 2025 nhận hồ sơ đến ngày 30/3,https://vnexpress.net/sang-kien-khoa-hoc-2025-nhan-ho-so-den-ngay-30-3-4866946.html,2025-03-29T05:00:00+07:00,799,VnExpress,3,True
khoa-hoc,Phát hiện hố thiên thạch cổ xưa nhất hành tinh,https://vnexpress.net/phat-hien-ho-thien-thach-co-xua-nhat-hanh-tinh-4857995.html,2025-03-07T20:00:00+07:00,564,VnExpress,8,True
khoa-hoc,Trung Quốc hoàn thành khoan giếng thẳng đứng sâu nhất châu Á,https://vnexpress.net/trung-quoc-hoan-thanh-khoan-gieng-thang-dung-sau-nhat-chau-a-4852694.html,2025-02-22T13:34:42+07:00,439,VnExpress,9,True
khoa-hoc,Phát hiện oxy ở thiên hà xa nhất,https://vnexpress.net/phat-hien-oxy-o-thien-ha-xa-nhat-4863996.html,2025-03-21T20:13:24+07:00,418,VnExpress,10,True
khoa-hoc,Cá sấu sống đầy rẫy dưới hệ thống cống Florida,https://vnexpress.net/ca-sau-song-day-ray-duoi-he-thong-cong-florida-4854510.html,2025-02-27T20:35:26+07:00,583,VnExpress,6,True
khoa-hoc,Trung Quốc xây 'siêu phòng thí nghiệm' nghiên cứu vật chất,https://vnexpress.net/trung-quoc-xay-sieu-phong-thi-nghiem-nghien-cuu-vat-chat-4854543.html,2025-02-27T13:40:04+07:00,618,VnExpress,5,True
khoa-hoc,Đề xuất 5 nguyên tắc xử lý chất thải phóng xạ,https://vnexpress.net/de-xuat-5-nguyen-tac-xu-ly-chat-thai-phong-xa-4865259.html,2025-03-26T11:35:19+07:00,817,VnExpress,4,True
khoa-hoc,Bộ Khoa học và Công nghệ sẽ là cầu nối dân sự và quân sự,https://vnexpress.net/bo-khoa-hoc-va-cong-nghe-se-la-cau-noi-dan-su-va-quan-su-4862521.html,2025-03-17T22:34:47+07:00,2438,VnExpress,0,True
khoa-hoc,Tàu du lịch đầu tiên trên thế giới chạy bằng hydro,https://vnexpress.net/tau-du-lich-dau-tien-tren-the-gioi-chay-bang-hydro-4872560.html,2025-04-12T08:00:00+07:00,423,VnExpress,8,True
khoa-hoc,Kỷ nguyên phát triển máy tính lượng tử,https://vnexpress.net/ky-nguyen-phat-trien-may-tinh-luong-tu-4857358.html,2025-03-07T11:00:00+07:00,591,VnExpress,5,True
khoa-hoc,Đàn cá voi sát thủ 60 con vây giết cá voi nguy cấp,https://vnexpress.net/dan-ca-voi-sat-thu-60-con-vay-giet-ca-voi-nguy-cap-4872541.html,2025-04-11T20:00:00+07:00,487,VnExpress,6,True
khoa-hoc,CEO Unitree: Robot hình người chờ đợi 'khoảnh khắc ChatGPT',https://vnexpress.net/ceo-unitree-robot-hinh-nguoi-cho-doi-khoanh-khac-chatgpt-4924932.html,2025-08-10T12:00:00+07:00,439,VnExpress,6,True
khoa-hoc,"'Tiêu chuẩn, đo lường và chất lượng phải là đòn bẩy tăng năng lực cạnh tranh'",https://vnexpress.net/tieu-chuan-do-luong-va-chat-luong-phai-la-don-bay-tang-nang-luc-canh-tranh-4867769.html,2025-03-31T14:53:49+07:00,3192,VnExpress,0,True
khoa-hoc,Lý do con người khó thay đổi thói quen xấu,https://vnexpress.net/ly-do-con-nguoi-kho-thay-doi-thoi-quen-xau-4864898.html,2025-03-23T20:59:29+07:00,3,VnExpress,2,True
khoa-hoc,Pin hạt nhân giúp tàu vũ trụ tồn tại hàng chục năm,https://vnexpress.net/pin-hat-nhan-giup-tau-vu-tru-ton-tai-hang-chuc-nam-4871104.html,2025-04-10T00:00:00+07:00,994,VnExpress,6,True
khoa-hoc,Máy tạo nhịp tim nhỏ nhất thế giới,https://vnexpress.net/may-tao-nhip-tim-nho-nhat-the-gioi-4869426.html,2025-04-03T14:25:52+07:00,471,VnExpress,9,True
